paperId,proceedingId
bab5e35001757719d0f8338f94dde2860dae784a,f574332b-460f-491c-9a93-7f4783e54768
28b5df48dd23ffc7e7d64fc43e2a420e05ab88f8,b89527fe-66c3-42e3-a8ff-c00eb275879e
c96fc88631f2b8e2fe192027a8a237445635328c,18990c8f-6c14-4892-abc1-d30071125803
b795c74a0150ec091003ffbaa5bd7d74487c137b,ee3a2c01-e0cd-4c44-9744-63ccf93a900e
8698b15f3152427d1285a995af615fbe7be26c7b,1539eac1-f663-4d84-b799-febcbc626864
4b3ebac2e9415d7d1124d6677386f199ab9b3a5f,f2dd6939-4456-49d4-ab61-42233416beb7
95a7e4b4d535a9c61a6f466a090a4004ef151b50,f2dd6939-4456-49d4-ab61-42233416beb7
2327e4c7ee7658100dacd5409b2a7f5b49995070,55a4be22-63f2-4a14-a716-136fed742482
a0134a8e9224c0c22e0dd4751031cae494259973,b89527fe-66c3-42e3-a8ff-c00eb275879e
22448f32f76a37a422d65f022dcdc628d44d6e52,b89527fe-66c3-42e3-a8ff-c00eb275879e
28cc044d5ba938472bc53d87240583982ad21663,0f02d29a-e9f7-491c-934f-c87a9219cb67
2737a61f6557fe7bf53a608c668de2eff1f582f0,0f02d29a-e9f7-491c-934f-c87a9219cb67
f93dda715d6de6f3829b7da72a75c24e98e004ce,1913d9eb-c3d8-4301-a8fb-83ea2c084c94
b05306f0b142e5afb3974b1b79996e5b82653662,0f02d29a-e9f7-491c-934f-c87a9219cb67
35403052458ed97b33659df3fc930bcd8559d959,a2d499d2-f1ac-4d34-a98a-fb8dcf26e6ab
eebf1a2705bf4ac256d141b0067f1b0ea1dc7632,088c37cf-1a53-405c-9983-62fa3dbdc4d1
9727206903eb40d4fa42606711bad3402f2ba9aa,a662b2bb-bead-44ba-b1c5-c86835c08b82
cf41991d89301c3c12420d150792cb1163999962,96d33fc8-9a53-4cab-9030-7999f2a182cb
3590f4d44434c6a9d27441546cf6cbd003a632ce,32a05673-1745-40c9-a231-5c808ec771b6
58395c572e53d5aeee72f0771e339332e0ecb294,c77754af-21cd-4969-a24b-56fcc578cd31
1e2e3184da5f266572984df1f10cbdaa18f19820,ec421c20-f706-4ff1-a8f6-07fe34f9eabe
7b4518707a9e79c0c037f61aecd064d930396122,198d65d2-3feb-4cb5-aa60-4de766eb2f35
9fb01cd85317f84fb4def982a81f19da2571bae1,f271348e-4d8d-46c7-bff9-c53ad2e46148
c2872fb23b02597034a179f4adb82a00d6ffda8d,a2d28f33-9523-4d85-add5-01ae245609ec
81b7e5635241f0fae8eac9f703f604a1a0073038,e8882e06-1a82-469c-b6c0-9c28d528f0b4
ddeea66c9550f99f9a6768d4b240a9fe9957487d,00659f30-df08-4a82-8a47-fababbf66807
728211a7edfe536299670f34714de1b426d969dc,7af88b81-b632-417d-ad70-8d70ca885bf3
c9304811f55fbafb33b4d28dc7b8601394c3310e,f1392585-6792-4fbf-a25c-d57949b4d4fd
d05ce7d99e08bb03bfd05d0de2de844a71bde6cf,590addda-5e7b-41ec-a93a-64fe6b8ff674
001e999b990a73428bf94bf758a5c510891ff8c0,bb5b48c5-aedd-4f9f-bcc1-5bf6ada1dbe7
8c05273278e0eedd2c806215aa17cfab7fc1da0c,d20ebc14-a387-4bee-a06c-3c51724f73be
6641c841fdbb6019578f74f155614b8bfe5d0ba0,20632158-9286-422f-a4c9-b5ac2f802048
f2342368c2dbce3be28b5298f6fc67890416c405,88c47f47-178c-416c-a893-82d581c46c75
e44262fec6b4997b29a8207f4d580a63d31545c5,20632158-9286-422f-a4c9-b5ac2f802048
64dce74b6914efc4a40c11fae8a929499e004340,d7e7a6bc-278b-4ce9-88cc-4533e5bbf6ae
05ce1b6b83f1162b9be57c038c7600541ac56166,f24f7d8b-aadf-4af6-9782-c45416711078
e8cd4f85bd9948db0a3296c65301b278852f3a7b,6bc16271-38f1-409b-9cc0-39a73c3da225
762d3e4453e4173527d2e0436dd9d32a218076dc,32a05673-1745-40c9-a231-5c808ec771b6
81c103559f508ea2896a14f308a67be90b91706b,786fc4bd-3589-471c-a7d9-2b34d9f53d77
1c8b5b018f61c8170554a2cd38b689f3b1e5eab2,92e4400d-03f3-4db7-b2ef-40a9fc2451d3
1d0d84a1f4e8de75151d88bd152816f18109d032,2629e14a-5921-484c-a9f8-ee7ba52d6ca7
3ca3f4273e70d719858550d1639ab28d3dc67a7a,dcbadc38-5946-43fc-9f52-d3b529f9cdc7
